symptoms,disease,home_medication,doctor_prescription
cough diarrhea fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose fever nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea chest pain fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea sore throat vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting sore throat body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea fatigue cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold chest pain diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache vomiting sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain sore throat cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever runny nose cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose fever vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting sore throat runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain headache chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache body pain cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever body pain sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold headache fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting runny nose fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache nausea cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain vomiting fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose chest pain body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache fatigue nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting runny nose diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat cough fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea runny nose chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose vomiting headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain fever sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose fever chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache vomiting fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain fatigue sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache fatigue nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue headache nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat vomiting headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain runny nose diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache cold sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain body pain fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough sore throat fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea body pain cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat vomiting headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea sore throat headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache cough fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold sore throat chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever nausea sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea chest pain headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat fatigue vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever vomiting cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat body pain nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea sore throat fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache diarrhea fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose chest pain headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain fever diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
